eye: oca, viso, asta, idea, fine
ear: mare, petto, sole, olio, ago
nose: naso, nido, nastro, nudo, nube
mouth: grave, fine, petto, estate, lungo
tooth: orso, andata, orlo, canzone, notizia
tongue: tuffarsi, tremare, tazza, tessuto, tallone
lip: petto, mare, legare, ago, fine
cheek: che, che cosa, rubare, petto, sonno
face: fine, grave, ago, idea, petto
forehead: foresta, legare, lungo, capello, capire
hair: estate, fine, sale, olio, petto
moustache: manto, mascella, mattina, moglie, mucchio
beard: notte, orso, notare, maniglia, legare
chin: chinare, petto, oca, ago, asta
jaw: sale, fine, petto, sole, mare
throat: lungo, grave, fine, petto, estate
neck: legare, petto, fine, sale, estate
nape: nube, naso, nido, nudo, nastro
head: estate, sale, oca, grave, petto
back: sale, ago, estate, petto, idea
spine: spuma, spalla, spazio, spesso, spalmare
belly: legare, anello, capello, calura, robusto
navel: padrone, padre, gridare, calura, legare
bosom: bosco, padrone, mosca, legare, capire
chest: legare, petto, grave, lungo, fine
breast: legare, tre, lungo, croce, rubare
shoulder: canzone, legare, allora, orso, estate
arm: oca, ago, petto, legare, nero
elbow: anello, legare, calma, padrone, calura
hand: fine, estate, sale, grave, legare
palm: penna, pino, piano, pala, pappa
finger: fine, petto, nero, olio, oca
fingernail: fegato, fumare, fettuccia, fresco, foglia
nail: naso, nastro, nido, nudo, nube
toe: orso, ago, oriente, oca, orlo
foot: legare, petto, fine, grave, estate
heel: petto, legare, fine, olio, sale
knee: bordo, gola, gatta, gusto, legare
thigh: legare, padrone, legno, bendare, lungo
leg: legare, legno, petto, mare, sole
body: ago, oca, idea, estate, petto
skin: petto, fine, olio, estate, oca
blood: estate, grave, fine, petto, rosso
vein: neve, petto, radice, padrone, vento
sinew: sinistro, padrone, rimanere, radice, snello
bone: fine, grave, petto, estate, olio
brain: estate, olio, fine, petto, nero
heart: estate, petto, grave, fine, rosso
stomach: stare, stretto, stizzire, strepitare, stella
liver: lupo, largo, lotta, lato, luna
breath: legare, tre, rubare, bendare, freddo
hunger: fame, gusto, bordo, dare, gamba
tear: rete, rubare, secco, pezzo, radice
flavour: slitta, calura, crudo, radice, padrone
odour: lodare, indicare, padrone, radice, udire
sleep: estate, ago, sale, grave, petto
dream: estate, ago, sale, petto, idea
sky: petto, estate, asta, oca, nero
sun: petto, olio, asta, estate, oca
moon: petto, estate, rosso, stormo, olio
star: sale, estate, petto, oca, asta
air: fine, estate, sale, asta, petto
wind: estate, fine, stormo, petto, grave
wave: fine, grave, idea, oca, asta
water: estate, fine, sale, grave, olio
stone: fine, grave, estate, sale, petto
soil: orso, soffiare, aspro, ago, canzone
ground: fine, estate, grave, sale, petto
earth: estate, fine, grave, petto, mare
dust: fine, estate, sale, grave, petto
smoke: smussato, stormo, padrone, radice, foglia
spark: oca, gridare, nero, viso, dio
fire: estate, sale, grave, fine, stormo
light: fine, sale, estate, idea, petto
shadow: estate, petto, sale, oca, nero
weather: estate, sale, oca, asta, petto
fog: foglia, fame, fresco, fumo, fango
cloud: estate, nero, oca, viso, idea
rain: sale, petto, stormo, estate, olio
snow: sale, petto, fine, estate, rosso
ice: fine, grave, oca, estate, petto
frost: fresco, fame, fumo, fango, fetta
chill: chiodo, chiamare, chiamata, chiaro, chiesa
heat: fine, estate, sale, nero, olio
hoarfrost: fieno, stormo, fazzoletto, foglia, baffi
rainbow: stormo, padrone, legare, capello, maniglia
thunder: stormo, tremare, bendare, ragno, stizzire
current: oca, estate, idea, sale, ago
drop: ago, estate, oca, idea, sale
foam: petto, gaio, dio, zio, gridare
dirt: dare, danno, dito, donna, dove
lake: estate, asta, rosso, merce, petto
swamp: stormo, legare, padrone, ragno, uccello
moor: petto, manto, ragno, oca, asta
meadow: mezzo, mezzogiorno, maniglia, ragno, calura
forest: estate, petto, oca, sale, fine
hill: estate, petto, sale, legare, rosso
elevation: e, oca, idea, asta, ago
mountain: montagna, stormo, frontiera, montare, legare
summit: padrone, capire, legare, posare, gridare
cave: cava, caverna, cane, culla, coda
slope: grave, fine, estate, sale, idea
source: idea, ago, oca, nero, testa
brook: petto, mare, rosso, estate, olio
river: estate, petto, sale, grave, fine
shore: estate, mare, sale, petto, grave
coast: costruire, oca, petto, calura, cieco
land: estate, sale, grave, merce, fare
sea: oca, asta, ora, idea, cala
cove: cava, culla, cane, coda, cima
island: aspro, bestia, orso, allora, canzone
flower: estate, sale, fine, olio, petto
grass: estate, fine, petto, sale, grave
root: oca, idea, viso, ago, testa
tree: fine, estate, oca, grave, idea
trunk: trancia, tratto, traccia, triste, tritare
bark: bordo, bello, bendare, baffi, baco
limb: legare, rimanere, lungo, buccia, bordo
branch: oca, estate, ago, sale, idea
leaf: fine, sale, estate, petto, olio
birch: falò, legare, anello, padrone, bastone
pine: fine, grave, petto, oca, estate
willow: canzone, orso, allora, legare, anello
fir: petto, oca, asta, mare, olio
horn: petto, mare, sale, estate, rosso
feather: febbre, pezzo, fiato, maestro, padrone
fur: petto, mare, sale, estate, sole
wing: petto, legare, oca, sale, ago
claw: legare, padrone, slitta, snello, calura
tail: fine, petto, estate, grave, oca
egg: estate, olio, petto, oca, nero
nest: oca, estate, est, petto, ago
lair: lupo, lotta, largo, lato, luna
animal: estate, fine, petto, grave, oca
flock: fame, fresco, fumo, fango, fossa
cow: pigro, petto, mare, estate, rosso
bull: petto, sale, mare, estate, rosso
horse: estate, sale, grave, petto, fine
sheep: pigro, maniglia, ragno, legare, capello
pig: pigro, petto, oca, estate, mare
dog: estate, pigro, petto, sale, mare
cat: oca, estate, petto, sale, ago
bear: estate, petto, mare, sale, grave
squirrel: sodo, sacco, sasso, sapore, sbarra
elk: anello, robusto, padre, calma, calura
fox: petto, estate, oca, sale, nero
hare: mare, petto, fare, sale, rosso
mouse: fine, nero, viso, dio, grave
wolf: petto, nero, estate, rosso, mare
bird: estate, petto, grave, mare, sale
swarm: oscuro, stormo, snello, capire, radice
chicken: chiodo, chiamare, chiesa, chiamata, chiaro
cock: petto, mare, estate, rosso, legare
goose: stormo, ragno, petto, padrone, tronco
eagle: e, oca, asta, nuca, gusto
duck: petto, estate, pigro, sale, padrone
owl: petto, oca, estate, sale, rosso
crane: crudo, grasso, slitta, stormo, calura
crow: petto, mare, estate, rosso, oca
cuckoo: cuccù, cattivo, civetta, culla, caverna
swan: stormo, padrone, legare, snello, sbaglio
fish: estate, petto, sale, olio, oca
perch: perche, per, perire, percepire, capire
pike: oca, viso, nero, petto, asta
snake: grave, petto, fine, nero, oca
worm: petto, pigro, estate, olio, oca
spider: spuma, spalla, spazio, spesso, spazzare
ant: petto, oca, mare, est, ago
louse: lotta, lupo, lato, largo, luna
midge: manto, mela, mastro, mattina, morte
fly: mare, petto, estate, sale, fine
butterfly: baffi, bendare, bordo, bello, bollire
berry: petto, rosso, olio, oca, estate
apple: oca, estate, nero, olio, sale
mushroom: mattina, manto, mastro, mucchio, mascella
onion: orso, andata, padrone, canzone, aspro
seed: estate, oca, sale, fine, petto
grain: grano, grasso, grande, gru, grigio
hay: mare, petto, olio, rosso, sale
husk: risata, tonare, rubare, orso, bastone
pit: petto, estate, sale, asta, oca
trap: ago, estate, idea, petto, nero
noose: noi, allora, orso, padrone, stormo
track: sale, estate, idea, oca, ago
ashes: petto, ago, oca, estate, sale
filth: filo, padrone, salute, calura, legare
iron: fine, estate, petto, sale, rosso
gold: fine, sale, estate, rosso, petto
silver: fine, sale, rosso, estate, petto
coal: fine, sale, estate, merce, asta
glass: fine, sale, estate, petto, olio
clay: calura, slitta, legare, argilla, calare
sand: fine, sale, estate, grave, petto
human: ago, oca, fine, estate, idea
man: maniglia, mano, ago, petto, mare
woman: maniglia, estate, mano, oca, petto
child: estate, ago, sole, grave, oca
boy: maniglia, ago, petto, mare, estate
girl: maniglia, estate, rosso, sale, petto
family: estate, sale, oca, petto, ago
grandfather: padrone, robusto, legare, allora, estate
grandmother: legare, bestia, maniglia, allora, padrone
parents: ago, estate, oca, idea, notizia
father: ago, estate, petto, rosso, mare
mother: estate, mare, rosso, petto, olio
son: sonno, ago, tonare, petto, tono
daughter: ago, estate, petto, allora, rosso
brother: aspro, rotondo, sonno, croce, robusto
sister: sodo, sapore, sacco, sasso, sordo
uncle: uncino, uccello, robusto, capello, legare
aunt: aumentare, allora, oca, a appena, asta
husband: sonno, orso, andata, maniglia, urtare
wife: ago, estate, merce, petto, oca
joy: petto, olio, mare, rosso, ago
laughter: estate, petto, olio, ago, sale
happiness: fame, gusto, dare, pensare, fresco
grief: gusto, gatta, gamba, gola, gelo
wish: ago, estate, oca, sale, petto
desire: desiderio, urtare, risata, cessare, aspro
spirit: estate, petto, oca, sole, sale
thought: idea, ago, estate, due, sole
memory: estate, idea, memoria, nero, ago
mind: ago, mare, petto, idea, estate
meaning: ago, idea, due, sale, estate
reason: ago, idea, petto, due, oca
truth: ago, estate, petto, oca, olio
talk: estate, oca, idea, olio, ago
fairy tale: fresco, fame, fetta, foglia, fango
story: estate, idea, ago, sale, oca
message: ago, idea, oca, aria, testa
news: oca, idea, viso, sale, via
name: ago, nome, oca, idea, estate
puzzle: piano, penna, pino, pappa, pala
speech: estate, idea, ago, oca, sale
language: idea, oca, estate, ago, viso
voice: idea, oca, ago, estate, nero
word: ago, idea, estate, gridare, sale
sign: significato, ago, idea, due, oca
call: idea, ago, oca, sale, due
noise: fine, idea, grave, nero, ago
sound: idea, estate, fine, sale, nero
tone: fine, ago, petto, idea, oca
song: ago, sale, estate, idea, petto
calm: calma, calura, calare, caldo, calzoni
