eye: حية, صور, تيار, عود, حث
ear: حية, صور, ذلك, تيار, عود
nose: حية, تيار, صور, ذلك, نوع
mouth: حية, صور, ذلك, تيار, عود
tooth: حية, صور, نوع, عود, تيار
tongue: حية, صور, تيار, نوع, وقت
lip: حية, نوع, صور, درس, هم
cheek: حية, صور, عود, ذلك, نوع
face: حية, صور, عود, تيار, نوع
forehead: حية, صور, تيار, ذلك, عود
hair: حية, صور, ذلك, عود, فر
moustache: حية, صور, تيار, عود, اسم
beard: حية, عود, صور, أن, جمع
chin: حية, صور, عود, أن, نوع
jaw: حية, صور, نوع, عود, عمل
throat: حية, ذلك, صور, تيار, عود
neck: حية, صور, ذلك, عود, تيار
nape: حية, تيار, صور, نوع, عود
head: حية, صور, تيار, ذلك, نوع
back: حية, نوع, تيار, صور, عود
spine: حية, تيار, صور, ذلك, عود
belly: حية, صور, تيار, ذلك, عود
navel: حية, صور, تيار, عود, نوع
bosom: حية, صور, تيار, عود, نوع
chest: حية, صور, ذلك, عود, لف
breast: حية, صور, تيار, عدد, بر
shoulder: حية, صور, عود, تيار, أن
arm: حية, تيار, صور, نوع, حث
elbow: حية, صور, تيار, قال, نوع
hand: حية, نوع, صور, حث, جمع
palm: حية, تيار, صور, عود, ذلك
finger: حية, صور, تيار, درس, نوع
fingernail: حية, صور, تيار, ذلك, عود
nail: حية, تيار, أن, صور, عدد
toe: حية, تيار, نوع, عود, صور
foot: حية, صور, ذلك, نوع, تيار
heel: حية, ذلك, صور, عود, تيار
knee: حية, صور, ذلك, تيار, ترك
thigh: حية, صور, تيار, ذلك, عود
leg: حية, صور, نوع, ذلك, غير
body: حية, صور, عود, ذلك, تيار
skin: حية, صور, بين, تيار, غير
blood: حية, فر, صور, ذلك, تل
vein: حية, تيار, صور, عود, نوع
sinew: حية, تيار, صور, نوع, سن
bone: حية, عود, صور, تيار, نوع
brain: حية, صور, تيار, ذلك, أن
heart: حية, صور, تيار, ذلك, أن
stomach: حية, صور, تيار, نوع, ذلك
liver: حية, ذلك, تيار, صور, عود
breath: حية, تيار, صور, نوع, عدد
hunger: حية, صور, تيار, ذلك, عود
tear: حية, تيار, صور, جمع, عود
flavour: حية, صور, عود, تيار, عمل
odour: حية, عود, تيار, صور, نوع
sleep: حية, ذلك, صور, تيار, عدد
dream: حية, صور, تيار, عود, ذلك
sky: حية, صور, تيار, عود, حث
sun: حية, صور, سن, تيار, عود
moon: حية, صور, تيار, عود, ذلك
star: حية, صور, ظهر, عود, طار
air: حية, صور, تيار, حث, عود
wind: حية, تيار, ذلك, عود, صور
wave: حية, تيار, نوع, صور, عود
water: حية, تيار, نوع, صور, ذلك
stone: حية, صور, عمل, عود, نوع
soil: حية, صور, تيار, ذلك, نوع
ground: حية, صور, نوع, تيار, حث
earth: حية, صور, تيار, ذلك, حث
dust: حية, صور, نوع, عود, حث
smoke: حية, اسم, صور, عود, تيار
spark: حية, تيار, صور, عود, نوع
fire: حية, صور, ذلك, تيار, حث
light: حية, صور, نوع, حث, تيار
shadow: حية, صور, تيار, شاء, ذلك
weather: حية, صور, تيار, شهر, عود
fog: حية, تيار, صور, نام, وقف
cloud: حية, صور, تيار, ولد, وجد
rain: حية, صور, ذلك, تيار, بلغ
snow: حية, صور, بلغ, تيار, ظهر
ice: حية, صور, عود, تيار, نوع
frost: حية, صور, تيار, نام, ذلك
chill: حية, صور, تيار, عود, نوع
heat: حية, تيار, نوع, ذلك, حث
hoarfrost: حية, صور, تيار, عود, ذلك
rainbow: حية, صور, تيار, نوع, عود
thunder: حية, صور, تيار, عود, ذلك
current: تيار, نوع, حية, عود, بدأ
drop: ترك, عود, حية, نوع, شاء
foam: حية, صور, تيار, جمع, نوع
dirt: حية, ولد, صور, وجد, ذلك
lake: حية, لاح, صور, تل, شهر
swamp: حية, صور, تيار, عود, نوع
moor: حية, تيار, صور, عود, شاء
meadow: حية, صور, تيار, عود, ذلك
forest: حية, صور, عود, نوع, تيار
hill: حية, صور, عود, تيار, أن
elevation: حية, تيار, نوع, صور, ذلك
mountain: حية, صور, تيار, عود, نوع
summit: حية, جمع, تيار, صور, نوع
cave: حية, صور, عود, تيار, ذلك
slope: حية, تيار, نوع, صور, درس
source: تيار, نوع, حية, حث, عود
brook: حية, صور, عود, تيار, ذلك
river: حية, صور, تيار, عود, أن
shore: حية, صور, تيار, عود, حث
coast: حية, صور, تيار, نوع, عود
land: حية, صور, عود, نوع, ترك
sea: حية, صور, تيار, عود, ذلك
cove: حية, صور, عود, تيار, ذلك
island: حية, صور, نوع, تيار, نام
flower: حية, صور, تيار, عود, نوع
grass: حية, صور, عود, درس, ذلك
root: حية, تيار, نوع, درس, حث
tree: حية, تيار, صور, درس, عود
trunk: حية, تيار, عود, صور, نوع
bark: حية, تيار, عود, صور, ذلك
limb: حية, تيار, صور, لم, عود
branch: حية, نوع, تيار, عود, صور
leaf: حية, صور, تيار, نوع, عود
birch: حية, صور, تيار, عود, نوع
pine: حية, صور, تيار, بين, عود
willow: حية, صور, عود, تيار, أن
fir: حية, صور, تيار, عود, حث
horn: حية, عود, نوع, صور, تيار
feather: حية, تيار, صور, نوع, عود
fur: حية, صور, فر, تيار, عود
wing: حية, صور, تيار, عود, ذلك
claw: حية, صور, تيار, ذلك, نوع
tail: حية, تيار, نوع, عود, صور
egg: حية, عود, صور, عمل, درس
nest: حية, نوع, صور, ذلك, عود
lair: حية, صور, تيار, ذلك, عود
animal: حية, صور, نوع, عمل, عود
flock: حية, تيار, صور, نوع, ذلك
cow: حية, صور, ذلك, عود, تيار
bull: حية, صور, عود, تيار, ولد
horse: حية, صور, تيار, عود, ذلك
sheep: حية, صور, عود, تيار, شاء
pig: حية, صور, تيار, عود, نوع
dog: حية, صور, ذلك, تيار, عود
cat: حية, صور, تيار, عود, درس
bear: حية, صور, تيار, عود, نوع
squirrel: حية, درس, صور, تيار, ذلك
elk: حية, صور, تيار, نوع, قال
fox: حية, صور, تيار, عود, ذلك
hare: حية, تيار, صور, عود, ذلك
mouse: حية, تيار, صور, ذلك, نوع
wolf: حية, صور, تيار, عود, ذلك
bird: حية, صور, تيار, ذلك, عود
swarm: حية, صور, تيار, نوع, عود
chicken: حية, صور, عود, تيار, ذلك
cock: حية, صور, ذلك, عود, نوع
goose: حية, صور, تيار, عود, نوع
eagle: حية, تيار, صور, نوع, عود
duck: حية, صور, عود, تيار, ذلك
owl: حية, صور, تيار, عود, ذلك
crane: حية, صور, تيار, عود, نوع
crow: حية, صور, عود, تيار, ذلك
cuckoo: حية, صور, تيار, عود, ذلك
swan: حية, صور, تيار, عود, نوع
fish: حية, صور, تيار, عود, ذلك
perch: حية, نوع, صور, تيار, نام
pike: حية, تيار, عود, درس, ذلك
snake: حية, صور, تيار, عود, نوع
worm: حية, صور, نوع, عود, ذلك
spider: حية, صور, تيار, ذلك, عود
ant: حية, عود, صور, أن, نوع
louse: حية, صور, تيار, ذلك, عود
midge: حية, صور, تيار, أم, عود
fly: حية, صور, تيار, حث, ولد
butterfly: حية, صور, تيار, عود, ذلك
berry: حية, صور, عود, تيار, خبر
