eye: 眼睛, 找到, 以为, 得到, 进入
ear: 以为, 找到, 或者, 得到, 感觉
nose: 眼睛, 以为, 找到, 得到, 或者
mouth: 嘴, 找到, 以为, 眼睛, 或者
tooth: 找到, 以为, 或者, 得到, 给
tongue: 以为, 或者, 明白, 找到, 得到
lip: 以为, 找到, 或者, 得到, 感觉
cheek: 以为, 找到, 或者, 得到, 明白
face: 脸, 面, 以为, 找到, 得到
forehead: 以为, 找到, 或者, 得到, 明白
hair: 找到, 以为, 衣服, 或者, 得到
moustache: 以为, 找到, 或者, 得到, 明白
beard: 以为, 找到, 得到, 明白, 或者
chin: 以为, 找到, 得到, 或者, 明白
jaw: 找到, 以为, 得到, 或者, 由于
throat: 找到, 以为, 眼睛, 或者, 得到
neck: 找到, 腿, 以为, 眼睛, 胸
nape: 以为, 找到, 得到, 进入, 或者
head: 头, 以为, 得到, 找到, 增加
back: 找到, 以为, 得到, 进入, 地点
spine: 以为, 得到, 找到, 感觉, 明白
belly: 以为, 找到, 明白, 感觉, 得到
navel: 以为, 找到, 明白, 或者, 得到
bosom: 以为, 找到, 明白, 得到, 或者
chest: 胸, 找到, 以为, 腿, 或者
breast: 以为, 找到, 得到, 或者, 胸
shoulder: 以为, 找到, 或者, 得到, 给
arm: 以为, 得到, 理解, 增加, 由于
elbow: 找到, 以为, 得到, 进入, 感觉
hand: 手, 以为, 找到, 或者, 得到
palm: 以为, 得到, 找到, 或者, 感觉
finger: 以为, 找到, 或者, 得到, 感觉
fingernail: 以为, 或者, 得到, 找到, 明白
nail: 以为, 找到, 得到, 或者, 感觉
toe: 以为, 找到, 得到, 或者, 地点
foot: 找到, 以为, 脚, 得到, 或者
heel: 以为, 找到, 或者, 得到, 腿
knee: 以为, 找到, 或者, 腿, 得到
thigh: 以为, 腿, 找到, 得到, 或者
leg: 腿, 以为, 找到, 或者, 得到
body: 身体, 以为, 得到, 找到, 或者
skin: 找到, 以为, 得到, 眼睛, 或者
blood: 血, 找到, 以为, 得到, 或者
vein: 以为, 找到, 得到, 或者, 明白
sinew: 以为, 得到, 力量, 或者, 明白
bone: 骨, 找到, 以为, 眼睛, 或者
brain: 脑, 以为, 找到, 得到, 或者
heart: 以为, 找到, 得到, 心, 或者
stomach: 以为, 找到, 或者, 得到, 明白
liver: 以为, 找到, 得到, 或者, 明白
breath: 以为, 找到, 或者, 得到, 明白
hunger: 以为, 得到, 感觉, 找到, 或者
tear: 以为, 找到, 得到, 或者, 明白
flavour: 以为, 得到, 找到, 或者, 明白
odour: 以为, 找到, 得到, 或者, 出现
sleep: 以为, 找到, 得到, 或者, 声音
dream: 以为, 找到, 得到, 感觉, 明白
sky: 以为, 找到, 得到, 感觉, 明白
sun: 以为, 找到, 得到, 或者, 明白
moon: 以为, 找到, 明白, 得到, 或者
star: 找到, 以为, 得到, 星, 由于
air: 找到, 以为, 得到, 增加, 由于
wind: 风, 以为, 找到, 得到, 或者
wave: 找到, 以为, 得到, 或者, 声音
water: 水, 找到, 以为, 得到, 或者
stone: 找到, 以为, 得到, 或者, 进入
soil: 以为, 找到, 或者, 得到, 感觉
ground: 找到, 以为, 得到, 或者, 增加
earth: 以为, 找到, 得到, 或者, 感觉
dust: 以为, 找到, 或者, 得到, 增加
smoke: 以为, 得到, 找到, 或者, 感觉
spark: 得到, 以为, 增加, 理解, 找到
fire: 火, 找到, 以为, 得到, 或者
light: 以为, 找到, 得到, 理解, 增加
shadow: 以为, 找到, 得到, 由于, 给
weather: 地点, 找到, 以为, 距离, 得到
fog: 以为, 得到, 或者, 找到, 打开
cloud: 云, 以为, 找到, 打开, 得到
rain: 以为, 找到, 雨, 或者, 得到
snow: 以为, 找到, 地点, 得到, 明白
ice: 冰, 以为, 找到, 得到, 或者
frost: 以为, 得到, 找到, 或者, 感觉
chill: 以为, 得到, 找到, 明白, 或者
heat: 找到, 以为, 得到, 声音, 力量
hoarfrost: 以为, 明白, 或者, 找到, 得到
rainbow: 以为, 找到, 得到, 明白, 或者
thunder: 以为, 找到, 得到, 明白, 或者
current: 找到, 由于, 得到, 以为, 进入
drop: 增加, 得到, 找到, 以为, 给
foam: 以为, 得到, 找到, 力量, 改变
dirt: 以为, 得到, 找到, 或者, 感觉
lake: 湖, 找到, 以为, 名字, 距离
swamp: 以为, 找到, 感觉, 得到, 或者
moor: 以为, 找到, 明白, 得到, 知道
meadow: 以为, 找到, 或者, 明白, 一起
forest: 找到, 以为, 得到, 感觉, 或者
hill: 以为, 找到, 或者, 明白, 得到
elevation: 找到, 以为, 地点, 得到, 距离
mountain: 以为, 山, 找到, 得到, 明白
summit: 得到, 以为, 找到, 给, 增加
cave: 以为, 得到, 或者, 找到, 出现
slope: 长度, 得到, 以为, 找到, 地点
source: 得到, 打开, 以为, 增加, 或者
brook: 以为, 找到, 得到, 或者, 明白
river: 找到, 以为, 得到, 感觉, 或者
shore: 找到, 以为, 得到, 岸, 明白
coast: 以为, 找到, 得到, 或者, 感觉
land: 找到, 以为, 得到, 或者, 增加
sea: 海, 找到, 以为, 明白, 得到
cove: 以为, 得到, 找到, 或者, 明白
island: 找到, 以为, 由于, 得到, 给
flower: 找到, 以为, 衣服, 名字, 得到
