eye: 혀, 아이, 나무, 하나, 사람
ear: 혀, 나무, 곳, 하나, 든
nose: 혀, 하나, 나무, 든, 사람
mouth: 혀, 곳, 나무, 사람, 하나
tooth: 나무, 하나, 보기, 사람, 혀
tongue: 혀, 든, 나무, 하다, 곳
lip: 혀, 나무, 손, 곳, 집
cheek: 혀, 곳, 나무, 든, 하나
face: 나무, 사람, 곳, 하나, 혀
forehead: 혀, 나무, 곳, 든, 하나
hair: 혀, 나무, 곳, 든, 사람
moustache: 나무, 곳, 든, 하나, 혀
beard: 나무, 하나, 혀, 든, 보다
chin: 든, 나무, 혀, 하나, 곳
jaw: 혀, 나무, 곳, 든, 하나
throat: 혀, 나무, 곳, 하나, 사람
neck: 혀, 나무, 곳, 든, 하나
nape: 하나, 든, 하다, 보기, 나무
head: 나무, 사람, 하나, 혀, 든
back: 백, 보기, 나무, 하나, 사람
spine: 나무, 하나, 혀, 사람, 든
belly: 든, 나무, 혀, 곳, 하나
navel: 나무, 든, 하나, 곳, 하다
bosom: 나무, 곳, 든, 하나, 하다
chest: 혀, 나무, 든, 곳, 사람
breast: 혀, 나무, 하나, 곳, 든
shoulder: 나무, 하나, 혀, 곳, 든
arm: 나무, 하나, 혀, 든, 사람
elbow: 나무, 혀, 든, 곳, 하나
hand: 손, 나무, 혀, 사람, 하나
palm: 나무, 든, 하나, 사람, 곳
finger: 혀, 나무, 사람, 손, 하나
fingernail: 나무, 하나, 혀, 든, 곳
nail: 하나, 나무, 든, 혀, 곳
toe: 하나, 보기, 보다, 나무, 혀
foot: 혀, 나무, 손, 곳, 사람
heel: 혀, 나무, 곳, 든, 손
knee: 혀, 나무, 든, 하나, 사람
thigh: 혀, 나무, 든, 곳, 하다
leg: 혀, 나무, 곳, 하나, 사람
body: 사람, 나무, 곳, 혀, 거리
skin: 나무, 사람, 혀, 하나, 곳
blood: 나무, 사람, 곳, 혀, 든
vein: 나무, 곳, 하나, 보기, 사람
sinew: 하다, 나무, 혀, 사람, 하나
bone: 나무, 혀, 곳, 사람, 하나
brain: 나무, 사람, 혀, 곳, 하나
heart: 나무, 하나, 혀, 곳, 사람
stomach: 혀, 곳, 나무, 하나, 든
liver: 하나, 나무, 든, 혀, 사람
breath: 하나, 나무, 혀, 곳, 든
hunger: 하다, 하나, 든, 나무, 사람
tear: 나무, 하나, 혀, 든, 하다
flavour: 나무, 곳, 든, 하나, 거리
odour: 나무, 보기, 하나, 사람, 곳
sleep: 나무, 거리, 사람, 하다, 하나
dream: 나무, 든, 하나, 곳, 사람
sky: 나무, 든, 곳, 천, 하나
sun: 든, 나무, 하나, 산, 곳
moon: 나무, 든, 곳, 하다, 사람
star: 별, 나무, 든, 보기, 하나
air: 나무, 혀, 든, 곳, 물
wind: 나무, 사람, 든, 곳, 혀
wave: 나무, 하나, 거리, 사람, 하다
water: 나무, 물, 사람, 하나, 든
stone: 나무, 든, 하나, 곳, 혀
soil: 나무, 곳, 하나, 보다, 사람
ground: 나무, 곳, 거리, 하나, 사람
earth: 나무, 곳, 사람, 하나, 든
dust: 나무, 든, 곳, 하나, 사람
smoke: 나무, 하나, 든, 곳, 혀
spark: 나무, 하나, 하다, 사람, 든
fire: 나무, 든, 곳, 혀, 하나
light: 나무, 하나, 곳, 든, 사람
shadow: 나무, 곳, 하나, 든, 사람
weather: 나무, 든, 곳, 보기, 하나
fog: 나무, 든, 하나, 하다, 사람
cloud: 나무, 사람, 하나, 든, 곳
rain: 든, 나무, 하나, 보기, 곳
snow: 든, 보기, 나무, 곳, 하나
ice: 나무, 든, 하나, 곳, 사람
frost: 나무, 든, 하나, 곳, 사람
chill: 든, 나무, 곳, 하나, 차
heat: 나무, 하나, 사람, 곳, 혀
hoarfrost: 하다, 나무, 든, 하나, 곳
rainbow: 나무, 든, 곳, 하나, 사람
thunder: 든, 나무, 곳, 하나, 하다
current: 새, 현, 나무, 하나, 사람
drop: 나무, 새, 곳, 둘, 든
foam: 나무, 곳, 하나, 든, 하다
dirt: 나무, 든, 하다, 하나, 곳
lake: 든, 곳, 보기, 나무, 하나
swamp: 나무, 든, 곳, 혀, 하나
moor: 든, 나무, 하다, 곳, 하나
meadow: 나무, 곳, 든, 하다, 혀
forest: 나무, 든, 곳, 산, 사람
hill: 나무, 든, 곳, 산, 길
elevation: 나무, 하나, 든, 곳, 거리
mountain: 나무, 곳, 든, 산, 혀
summit: 나무, 하나, 든, 곳, 거리
cave: 나무, 곳, 든, 하나, 사람
slope: 거리, 나무, 하다, 곳, 하나
source: 거리, 사람, 나무, 보기, 곳
brook: 나무, 든, 곳, 혀, 사람
river: 나무, 든, 곳, 하나, 하다
shore: 나무, 곳, 든, 하나, 혀
coast: 곳, 나무, 하나, 든, 코
land: 곳, 나무, 거리, 든, 하나
sea: 나무, 하다, 하나, 든, 곳
cove: 나무, 하나, 든, 곳, 보기
island: 나무, 곳, 하나, 든, 보기
flower: 나무, 든, 사람, 혀, 곳
grass: 나무, 사람, 든, 곳, 혀
